tool,threads,rep,max_rss_mb
unclone,1,0,32.6484375
unclone,1,1,32.67578125
unclone,1,2,32.8515625
unclone,8,0,33.03125
unclone,8,1,33.62890625
unclone,8,2,33.42578125
pyclone-vi,1,0,277.0
pyclone-vi,1,1,277.04296875
pyclone-vi,1,2,276.921875
pyclone-vi,8,0,279.69140625
pyclone-vi,8,1,280.203125
pyclone-vi,8,2,280.1328125
